GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
StackAr,org.autotest.operators.unary,IncrementsMutator,108,0,10,0,25,0,13,0,6,0
StackAr,org.autotest.helpers,UnaryOperatorKindToString,22,0,7,0,9,0,8,0,2,0
StackAr,org.autotest.helpers,BinaryOperatorKindToString,46,0,19,0,21,0,20,0,2,0
StackAr,org.autotest.operators,MutationOperator,86,0,2,0,18,0,4,0,3,0
StackAr,org.autotest,Stack,0,3,0,0,0,1,0,1,0,1
StackAr,org.autotest,Mutant,121,0,6,0,24,0,7,0,4,0
StackAr,org.autotest,Main,85,0,4,0,25,0,5,0,3,0
StackAr,org.autotest,StackAr,2,191,1,25,1,51,1,23,0,11
StackAr,org.autotest,MutantsGenerator,64,0,2,0,16,0,4,0,3,0
StackAr,org.autotest.operators.constants,OneConstantMutator,69,0,6,0,17,0,8,0,5,0
StackAr,org.autotest.operators.constants,ZeroConstantMutator,69,0,6,0,17,0,8,0,5,0
StackAr,org.autotest.operators.constants,MinusOneConstantMutator,69,0,6,0,17,0,8,0,5,0
StackAr,org.autotest.operators.binary,ConditionalsBoundaryMutator,81,0,7,0,19,0,10,0,5,0
StackAr,org.autotest.operators.binary,NegateConditionsMutator,93,0,9,0,21,0,12,0,5,0
StackAr,org.autotest.operators.binary,MathMutator,123,0,14,0,26,0,17,0,5,0
StackAr,org.autotest.mutants,StackArMutated1613,2,183,1,23,1,49,1,22,0,11
StackAr,org.autotest.mutants,StackArMutated6708,14,180,5,21,5,47,5,19,0,11
StackAr,org.autotest.mutants,StackArMutated1335,72,121,12,14,19,33,8,16,1,10
StackAr,org.autotest.mutants,StackArMutated8846,30,162,7,19,9,43,6,18,0,11
StackAr,org.autotest.mutants,StackArMutated2629,85,108,16,10,24,28,11,13,2,9
StackAr,org.autotest.mutants,StackArMutated6627,47,131,6,16,12,36,5,17,1,10
StackAr,org.autotest.mutants,StackArMutated4371,51,142,8,18,14,38,7,17,1,10
StackAr,org.autotest.mutants,StackArMutated9742,30,163,7,19,9,43,6,18,0,11
StackAr,org.autotest.mutants,StackArMutated6793,160,25,22,2,42,10,19,4,7,4
StackAr,org.autotest.mutants,StackArMutated5069,49,137,7,17,13,37,6,17,1,10
StackAr,org.autotest.mutants,StackArMutated738,148,42,23,3,39,13,19,5,6,5
StackAr,org.autotest.mutants,StackArMutated1661,142,51,21,5,38,14,17,7,6,5
StackAr,org.autotest.mutants,StackArMutated3124,182,11,25,1,48,4,23,1,10,1
StackAr,org.autotest.mutants,StackArMutated3168,157,20,23,1,40,8,20,3,8,3
StackAr,org.autotest.mutants,StackArMutated1143,14,179,5,21,5,47,5,19,0,11
StackAr,org.autotest.mutants,StackArMutated9382,8,186,3,23,3,49,3,21,0,11
StackAr,org.autotest.mutants,StackArMutated1745,85,108,16,10,24,28,11,13,2,9
StackAr,org.autotest.mutants,StackArMutated6910,0,186,0,24,0,50,0,23,0,11
StackAr,org.autotest.mutants,StackArMutated3885,8,185,3,23,3,49,3,21,0,11
StackAr,org.autotest.mutants,StackArMutated5425,17,176,5,21,6,46,5,19,0,11
StackAr,org.autotest.mutants,StackArMutated5987,125,68,22,4,34,18,17,7,5,6
StackAr,org.autotest.mutants,StackArMutated6438,80,113,15,11,22,30,10,14,1,10
StackAr,org.autotest.mutants,StackArMutated3924,148,45,23,3,39,13,19,5,6,5
StackAr,org.autotest.mutants,StackArMutated8421,94,85,18,6,26,22,13,10,2,9
StackAr,org.autotest.mutants,StackArMutated8026,182,11,25,1,48,4,23,1,10,1
StackAr,org.autotest.mutants,StackArMutated5671,2,191,1,25,1,51,1,23,0,11
StackAr,org.autotest.mutants,StackArMutated5474,142,51,21,5,38,14,17,7,6,5
StackAr,org.autotest.mutants,StackArMutated9795,96,86,17,7,27,22,12,11,2,9
StackAr,org.autotest.mutants,StackArMutated7533,2,184,1,23,1,49,1,22,0,11
StackAr,org.autotest.mutants,StackArMutated5630,125,68,22,4,34,18,17,7,5,6
StackAr,org.autotest.mutants,StackArMutated5037,10,181,4,20,4,47,4,19,0,11
StackAr,org.autotest.mutants,StackArMutated5554,125,68,22,4,34,18,17,7,5,6
StackAr,org.autotest.mutants,StackArMutated6644,104,84,18,6,29,23,13,10,2,9
StackAr,org.autotest.mutants,StackArMutated3971,2,191,1,25,1,51,1,23,0,11
StackAr,org.autotest.mutants,StackArMutated200,2,186,1,23,1,49,1,22,0,11
StackAr,org.autotest.mutants,StackArMutated3254,4,183,2,22,2,48,2,21,0,11
StackAr,org.autotest.mutants,StackArMutated2248,10,183,5,21,4,48,5,19,0,11
StackAr,org.autotest.mutants,StackArMutated2962,85,108,16,10,24,28,11,13,2,9
StackAr,org.autotest.mutants,StackArMutated5999,47,121,6,14,12,33,5,16,1,10
StackAr,org.autotest.mutants,StackArMutated8906,51,142,8,18,14,38,7,17,1,10
StackAr,org.autotest.mutants,StackArMutated9918,10,177,4,20,4,46,4,19,0,11
StackAr,org.autotest.mutants,StackArMutated6374,125,68,22,4,34,18,17,7,5,6
StackAr,org.autotest.mutants,StackArMutated7144,2,191,1,25,1,51,1,23,0,11
StackAr,org.autotest.mutants,StackArMutated5285,35,158,6,20,10,42,6,18,0,11
StackAr,org.autotest.mutants,StackArMutated9885,112,74,19,5,31,19,15,8,4,7
StackAr,org.autotest.mutants,StackArMutated9244,73,120,13,13,20,32,10,14,1,10
StackAr,org.autotest.mutants,StackArMutated5881,156,37,23,3,41,11,19,5,6,5
StackAr,org.autotest.mutants,StackArMutated9404,125,68,22,4,34,18,17,7,5,6
StackAr,org.autotest.mutants,StackArMutated7422,10,184,5,21,4,48,5,19,0,11
StackAr,org.autotest.mutants,StackArMutated838,125,68,22,4,34,18,17,7,5,6
StackAr,org.autotest.mutants,StackArMutated156,10,183,5,21,4,48,5,19,0,11
StackAr,org.autotest.mutants,StackArMutated2451,177,9,24,0,46,3,22,1,10,1
StackAr,org.autotest.mutants,StackArMutated6690,120,73,21,5,33,19,16,8,4,7
StackAr,org.autotest.mutants,StackArMutated9120,125,68,22,4,34,18,17,7,5,6
StackAr,org.autotest.mutants,StackArMutated9560,151,34,22,2,40,12,19,4,7,4
StackAr,org.autotest.mutants,StackArMutated6939,142,52,21,5,38,14,17,7,6,5
StackAr,org.autotest.mutants,StackArMutated2213,164,29,24,2,43,9,20,4,7,4
StackAr,org.autotest.mutants,StackArMutated3620,120,74,21,5,33,19,16,8,4,7
StackAr,org.autotest.mutants,StackArMutated6855,125,68,22,4,34,18,17,7,5,6
StackAr,org.autotest.mutants,StackArMutated7823,45,119,5,13,11,32,4,16,1,10
StackAr,org.autotest.mutants,StackArMutated7822,51,142,8,18,14,38,7,17,1,10
StackAr,org.autotest.mutants,StackArMutated3902,68,118,12,12,18,32,9,14,1,10
StackAr,org.autotest.mutants,StackArMutated7232,71,122,12,14,19,33,9,15,1,10
StackAr,org.autotest.mutants,StackArMutated989,142,51,21,5,38,14,17,7,6,5
StackAr,org.autotest.mutants,StackArMutated6980,156,37,23,3,41,11,19,5,6,5
StackAr,org.autotest.mutants,StackArMutated6664,78,108,14,10,22,28,10,13,2,9
StackAr,org.autotest.mutants,StackArMutated4289,30,163,7,19,9,43,6,18,0,11
StackAr,org.autotest.mutants,StackArMutated8687,120,74,21,5,33,19,16,8,4,7
StackAr,org.autotest.mutants,StackArMutated4642,148,45,23,3,39,13,19,5,6,5
StackAr,org.autotest.mutants,StackArMutated7390,118,70,20,4,33,19,15,8,4,7
StackAr,org.autotest.mutants,StackArMutated148,49,110,6,10,12,29,5,14,1,10
StackAr,org.autotest.mutants,StackArMutated9694,8,181,3,21,3,47,3,20,0,11
StackAr,org.autotest.operators.conditionals,FalseConditionalsMutator,49,0,4,0,12,0,6,0,4,0
StackAr,org.autotest.operators.conditionals,TrueConditionalsMutator,49,0,4,0,12,0,6,0,4,0
StackAr,org.autotest.operators.returns,FalseReturnsMutator,72,0,6,0,16,0,9,0,6,0
StackAr,org.autotest.operators.returns,NullReturnsMutator,58,0,2,0,15,0,6,0,5,0
StackAr,org.autotest.operators.returns,TrueReturnsMutator,72,0,6,0,16,0,9,0,6,0
StackAr,org.autotest.operators.returns,EmptyReturnsMutator,89,0,5,0,20,0,9,0,6,0
